,count,mean,std,min,25%,50%,75%,max
url_length,1647.0,46.2896174863388,14.503002841097423,16.0,31.0,44.0,61.0,66.0
domain_length,1647.0,14.554948391013966,3.8073901065186133,9.0,11.0,14.0,19.0,19.0
num_dots,1647.0,2.161505768063145,1.0718533776787358,1.0,1.0,2.0,3.0,4.0
num_digits,1647.0,7.052216150576807,3.95305912356709,0.0,3.0,6.0,10.0,14.0
num_hyphens,1647.0,0.7285974499089253,0.8974389983937429,0.0,0.0,0.0,2.0,2.0
num_slashes,1647.0,3.3709775349119613,0.4906988631973074,2.0,3.0,3.0,4.0,4.0
num_question_marks,1647.0,0.6144505160898603,0.4868726781083249,0.0,0.0,1.0,1.0,1.0
num_equal_signs,1647.0,0.9180327868852459,0.8263339031281461,0.0,0.0,1.0,2.0,2.0
num_ampersands,1647.0,0.3035822707953855,0.459944040525067,0.0,0.0,0.0,1.0,1.0
num_underscores,1647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_percent_signs,1647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_at_symbols,1647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_tildes,1647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_commas,1647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_semicolons,1647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_asterisks,1647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_colons,1647.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
num_double_slashes,1647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_https,1647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_ip_address,1647.0,0.18214936247723132,0.3860848055411704,0.0,0.0,0.0,0.0,1.0
num_subdomains,1647.0,0.42501517911353975,0.4944954438595842,0.0,0.0,0.0,1.0,1.0
shannon_entropy,1647.0,4.281011919807357,0.16421146702813258,3.375,4.180002761999778,4.260332600569877,4.383969969293428,4.654078664259099
num_suspicious_keywords,1647.0,1.0042501517911353,1.2458851467404393,0.0,0.0,0.0,3.0,3.0
path_length,1647.0,11.34729811778992,5.912245333417561,0.0,7.0,8.0,13.0,23.0
query_length,1647.0,8.270188221007894,7.991215036856433,0.0,0.0,5.0,17.0,19.0
label,1647.0,0.607164541590771,0.48852908543945384,0.0,0.0,1.0,1.0,1.0
